Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 28 2014,8:00p,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,17097,
Tue Oct 28 2014,8:00p,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,19615,
Tue Oct 28 2014,10:30p,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,18997,
Wed Oct 29 2014,7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,19439,
Wed Oct 29 2014,7:00p,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,18165,
Wed Oct 29 2014,7:30p,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,19800,
Wed Oct 29 2014,7:30p,Washington Wizards,95,Miami Heat,107,Box Score,,19744,
Wed Oct 29 2014,7:30p,Brooklyn Nets,105,Boston Celtics,121,Box Score,,18624,
Wed Oct 29 2014,8:00p,Chicago Bulls,104,New York Knicks,80,Box Score,,19812,
Wed Oct 29 2014,8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,17731,
Wed Oct 29 2014,9:00p,Detroit Pistons,79,Denver Nuggets,89,Box Score,,17136,
Wed Oct 29 2014,9:00p,Houston Rockets,104,Utah Jazz,93,Box Score,,19911,
Wed Oct 29 2014,10:00p,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,17523,
Wed Oct 29 2014,10:00p,Golden State Warriors,95,Sacramento Kings,77,Box Score,,17317,
Wed Oct 29 2014,10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,19441,
Thu Oct 30 2014,7:00p,Washington Wizards,105,Orlando Magic,98,Box Score,,18846,
Thu Oct 30 2014,8:00p,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,20562,
Thu Oct 30 2014,8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,18296,
Thu Oct 30 2014,8:30p,Utah Jazz,102,Dallas Mavericks,120,Box Score,,19697,
Thu Oct 30 2014,10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,19060,
Fri Oct 31 2014,7:00p,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,14441,
Fri Oct 31 2014,8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,22879,
Fri Oct 31 2014,8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,18717,
Fri Oct 31 2014,10:00p,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,15050,
Fri Oct 31 2014,10:00p,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,14648,
Fri Oct 31 2014,10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,18997,
Sat Nov 1 2014,7:00p,Memphis Grizzlies,71,Charlotte Hornets,69,Box Score,,18133,
Sat Nov 1 2014,7:00p,Dallas Mavericks,109,New Orleans Pelicans,104,Box Score,,14547,
Sat Nov 1 2014,7:00p,Toronto Raptors,108,Orlando Magic,95,Box Score,,16141,
Sat Nov 1 2014,7:00p,Miami Heat,114,Philadelphia 76ers,96,Box Score,,19753,
Sat Nov 1 2014,7:00p,Milwaukee Bucks,97,Washington Wizards,108,Box Score,,17992,
Sat Nov 1 2014,7:30p,Indiana Pacers,92,Atlanta Hawks,102,Box Score,,19118,
Sat Nov 1 2014,7:30p,Brooklyn Nets,102,Detroit Pistons,90,Box Score,,19904,
Sat Nov 1 2014,8:00p,Boston Celtics,90,Houston Rockets,104,Box Score,,18309,
Sat Nov 1 2014,8:00p,Chicago Bulls,106,Minnesota Timberwolves,105,Box Score,,19356,
Sat Nov 1 2014,8:00p,Denver Nuggets,91,Oklahoma City Thunder,102,Box Score,,18203,
Sat Nov 1 2014,9:00p,Phoenix Suns,91,Utah Jazz,118,Box Score,,17721,
Sat Nov 1 2014,10:30p,Los Angeles Lakers,104,Golden State Warriors,127,Box Score,,19596,
Sun Nov 2 2014,3:30p,Sacramento Kings,98,Los Angeles Clippers,92,Box Score,,19060,
Sun Nov 2 2014,6:00p,Toronto Raptors,102,Miami Heat,107,Box Score,,19666,
Sun Nov 2 2014,7:30p,Charlotte Hornets,93,New York Knicks,96,Box Score,,19812,
Sun Nov 2 2014,9:00p,Golden State Warriors,95,Portland Trail Blazers,90,Box Score,,19441,
Mon Nov 3 2014,7:00p,Houston Rockets,104,Philadelphia 76ers,93,Box Score,,12896,
Mon Nov 3 2014,7:30p,Oklahoma City Thunder,85,Brooklyn Nets,116,Box Score,,17732,
Mon Nov 3 2014,8:00p,New Orleans Pelicans,81,Memphis Grizzlies,93,Box Score,,15302,
Mon Nov 3 2014,8:30p,Boston Celtics,113,Dallas Mavericks,118,Box Score,,19948,
Mon Nov 3 2014,9:00p,Sacramento Kings,110,Denver Nuggets,105,Box Score,,12516,
Mon Nov 3 2014,10:30p,Utah Jazz,101,Los Angeles Clippers,107,Box Score,,19060,
Tue Nov 4 2014,7:00p,Milwaukee Bucks,87,Indiana Pacers,81,Box Score,,15012,
Tue Nov 4 2014,7:30p,Houston Rockets,108,Miami Heat,91,Box Score,,19666,
Tue Nov 4 2014,7:30p,Washington Wizards,98,New York Knicks,83,Box Score,,19812,
Tue Nov 4 2014,7:30p,Oklahoma City Thunder,88,Toronto Raptors,100,Box Score,,18877,
Tue Nov 4 2014,8:00p,Orlando Magic,90,Chicago Bulls,98,Box Score,,21809,
Tue Nov 4 2014,8:00p,Charlotte Hornets,91,New Orleans Pelicans,100,Box Score,,14840,
Tue Nov 4 2014,10:00p,Cleveland Cavaliers,82,Portland Trail Blazers,101,Box Score,,19441,
Tue Nov 4 2014,10:30p,Phoenix Suns,112,Los Angeles Lakers,106,Box Score,,18997,
